MedID,Name,Description,Stock,Price
M001,Panadol,Pain reliever and fever reducer,100,6.50
M002,Amoxicillin,Antibiotic for bacterial infections,80,12.00
M003,Vitamin C,Immune system booster,150,8.00
M004,Loratadine,Antihistamine for allergies,60,15.00
M005,Omeprazole,Reduces stomach acid,9,25.00
M006,Paracetamol,Common painkiller,200,5.00
M007,Ibuprofen,Anti-inflammatory and pain relief,120,10.00
M008,Salbutamol,Asthma inhaler medication,10,30.00
M009,Aspirin,Blood thinner and pain relief,70,7.50
M010,Metformin,Controls blood sugar in type 2 diabetes,50,20.00
