treatmentName,description,duration,price
X-ray,Digital imaging to view internal structures of the body,PT30M,100
Blood test,Laboratory analysis of blood samples to check for various health indicators,PT15M,80
Urine test,Diagnostic test to analyze urine for diseases and conditions,PT10M,25
Vaccination,Administration of vaccine to provide immunity against diseases,PT10M,120
Physical therapy,Rehabilitation treatment to improve mobility and reduce pain,PT1H,120
Ultrasound,Medical imaging technique using high-frequency sound waves,PT45M,180
Allergy test,Diagnostic procedure to identify specific allergies,PT30M,200
Wound care,Medical treatment for cleaning and dressing wounds,PT25M,50
IV Fluid therapy,Intravenous administration of fluids for hydration or medication,PT50M,150
Nebuliser,Device that delivers medication in mist form for respiratory conditions,PT35M,60
Cryotherapy,Medical treatment using extreme cold to destroy abnormal tissue,PT1H30M,80
Eye Examination,Comprehensive vision test and eye health assessment,PT20M,70
